N,P,K,temp,pH,Location
90,42,43,20.87974371,6.502985292,ryk
85,58,41,21.77046169,7.038096361,bahawalnagar
60,55,44,23.00445915,7.840207144,bwp
74,35,40,26.49109635,6.980400905,rajanpur
78,42,42,20.13017482,7.628472891,digikhan
69,37,42,23.05804872,7.073453503,layyah
69,55,38,22.70883798,5.70080568,m.garh
94,53,40,20.27774362,5.718627178,vihari
89,54,38,24.51588066,6.685346424,khanewal
68,58,38,23.22397386,6.336253525,lodhran
91,53,40,26.52723513,5.386167788,multan
90,46,42,23.97898217,7.50283396,pakpatan
78,58,44,26.80079604,5.108681786,sahiwal
93,56,36,24.01497622,6.98435366,okara
94,50,37,25.66585205,6.94801983,kasur
60,48,39,24.28209415,7.042299069,lahore
85,38,41,21.58711777,6.249050656,nankana sahib
91,35,39,23.79391957,6.970859754,shekupora
77,38,36,21.8652524,5.953933276,hafizabad
88,35,40,23.57943626,5.85393208,gujranwala
89,45,36,21.32504158,6.442475375,narowall
76,40,43,25.15745531,5.070175667,sialkot
67,59,41,21.94766735,6.012632591,gujrat
83,41,43,21.0525355,6.254028451,gujrat
98,47,37,23.48381344,7.375482851,gujrat
66,53,41,25.0756354,7.778915154,chainiot
97,59,43,26.35927159,6.286500176,jhang
97,50,41,24.52922681,7.070959995,faisalabad
60,49,44,20.77576147,6.244841491,bakar
84,51,35,22.30157427,6.043304899,mianwali
73,57,41,21.44653958,5.824709117,sialkot
92,35,40,22.17931888,6.357389366,gujrat
85,37,39,24.52783742,6.364134968,gujrat
98,53,38,20.26707606,5.01450727,gujrat
88,54,44,25.7354293,6.149410611,chainiot
95,55,42,26.79533926,5.950660556,jhang
99,57,35,26.75754171,5.960370061,faisalabad
95,39,36,23.86330467,5.561398642,bakar
60,43,44,21.01944696,7.416245107,mianwali
63,44,41,24.17298839,5.583370042,rajanpur
62,42,36,22.78133816,6.430010215,digikhan
64,45,43,25.62980105,5.534878156,layyah
83,60,36,25.59704938,6.903985986,m.garh
82,40,40,23.83067496,6.271478838,vihari
85,52,45,26.31355498,7.224285503,khanewal
91,35,38,24.8972823,6.13428721,lodhran
76,49,42,24.958779,5.206373153,multan
74,39,38,23.24113501,7.782051313,pakpatan
79,43,39,21.66628296,7.062779015,sahiwal
88,55,45,24.63544858,7.730367824,gujrat
60,36,43,23.43121862,5.286203711,mianwali
76,60,39,20.0454142,6.766240045,bakar
93,56,42,23.85724032,7.382762603,tobataiksingh
65,60,43,21.97199397,5.658169482,faisalabad
95,52,36,26.22916897,5.543360238,jhang
75,38,39,23.44676801,6.215109715,narowall
74,54,38,25.65553461,7.120272972,multan
91,36,45,24.44345477,5.950647577,khanewal
71,46,40,20.2801937,7.236705436,lodhran
99,55,35,21.7238313,6.501697816,jhang
72,40,38,20.41447029,7.592490617,jhang
83,58,45,25.75528612,5.875345751,jhang
93,58,38,20.61521424,6.932400225,jhang
70,36,42,21.84106875,6.946209881,bakar
76,47,42,20.08369642,5.739175027,bakar
99,41,36,24.45802087,6.738652179,bakar
99,54,37,21.14347496,5.594819626,gujrat
86,59,35,25.78720567,6.946636369,gujrat
69,46,41,23.64124821,5.012139669,gujrat
91,56,37,23.43191632,6.363472208,ryk
61,52,41,24.97669518,6.880431223,bahawalnagar
67,45,38,22.72791041,7.300410836,bwp
79,42,37,24.87300744,6.587918708,rajanpur
78,43,42,21.32376327,7.283736617,digikhan
75,54,36,26.29465461,7.023936392,layyah
97,36,45,22.2286982,6.939083505,m.garh
67,47,44,26.73072391,7.868474653,vihari
73,35,38,24.88921174,5.005306977,khanewal
77,36,37,26.88444878,6.136131869,lodhran
81,41,38,22.67846116,7.524080076,multan
68,57,43,26.08867875,5.706943251,pakpatan
72,45,35,25.42977518,5.758506323,sahiwal
61,53,43,26.40323239,6.349606327,okara
67,43,39,26.04371967,5.999969026,kasur
67,58,39,25.2827223,5.453592032,lahore
66,60,38,22.08576562,6.372576327,nankana sahib
82,43,38,23.28617173,5.105588355,shekupora
84,50,44,25.48591986,5.935344406,hafizabad
81,53,42,23.67575393,5.17782304,gujranwala
91,50,40,20.82477109,6.462391607,narowall
93,53,38,26.92995077,7.069172227,sialkot
90,44,38,23.83509503,7.473134377,gujrat
81,45,35,26.52872817,6.158376967,gujrat
78,40,38,26.46428311,7.549873681,gujrat
60,51,36,22.69657794,6.028321558,chainiot
88,46,42,22.68319059,6.604993475,jhang
93,47,37,21.53346343,6.500343222,faisalabad
60,55,45,21.40865769,5.935745417,bakar
78,35,44,26.54348085,7.072655622,mianwali
65,37,40,23.35905428,5.333322606,sialkot
71,54,16,22.61359953,5.749914421,attock
61,44,17,26.10018422,6.931756558,rawalpindi 
80,43,16,23.55882094,6.657964753,isl
73,58,21,19.97215954,6.596060648,jehlum
61,38,20,18.47891261,5.970458434,chakwall
68,41,16,21.77689322,6.158830619,sarjodha
93,41,17,25.6217169,6.047906679,khushab
89,60,19,25.19192419,5.913664501,mianwali
76,44,17,20.41683147,5.855442401,bakar
67,60,25,24.92162194,5.750254943,faisalabad
70,44,19,23.31689124,5.852607099,tobataiksingh
90,49,21,24.84016732,6.472523287,jhang
62,52,16,22.27526694,6.967057762,gujrat
92,44,16,18.87751445,6.082973754,m.b.din
66,54,21,25.19008683,5.919045532,sialkot
63,58,22,18.25405352,6.204747653,narowall
70,47,17,24.6129118,6.600827017,gujranwala
61,41,17,25.1420613,6.021902237,hafizabad
66,53,19,23.09348056,6.033550195,shekupora
74,55,19,18.05033737,6.28886807,nankana sahib
77,57,21,24.9321581,6.550563823,lahore
99,50,15,18.14710054,5.573286437,kasur
74,56,22,18.28362235,6.829199275,okara
83,45,21,18.83344471,5.716222912,sahiwal
100,48,16,25.71895816,5.54990242,pakpatan
79,51,16,25.33797709,6.586244581,multan
94,39,18,23.89114571,5.893093135,lodhran
75,49,15,21.53574127,5.918263801,khanewal
78,48,22,23.08974909,5.588650585,vihari
